tourist_id,nationality,age,gender,travel_purpose,arrival_date,departure_date,duration_days,season,group_size,travel_with,previous_visits_to_nepal,hotel_id,accommodation_type,accommodation_city,cities_visited,num_attractions_visited,primary_transport,uses_tour_guide,daily_budget_usd,accommodation_cost_npr,food_cost_npr,shopping_cost_npr,activities_cost_npr,transport_cost_npr,guide_cost_npr,total_spent_npr,information_source,main_interest,satisfaction_score,would_recommend
1,Australian,22,Male,Adventure/Trekking,2025-10-09 03:50:54.435982,2025-10-19 03:50:54.435982,10,Autumn,2,Partner/Spouse,0,27,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Walking,False,25,22840,20140,4175,3500,500,0,51155,Travel Agency,Adventure Sports,8.2,True
2,Other,20,Female,Adventure/Trekking,2025-04-27 03:50:54.435982,2025-05-03 03:50:54.435982,6,Spring,2,Partner/Spouse,0,4,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",3,Walking,False,16,15816,8364,688,1500,300,0,26668,Social Media,Adventure Sports,7.8,True
3,Bangladeshi,34,Female,Business,2025-05-06 03:50:54.435982,2025-05-09 03:50:54.435982,3,Spring,4,Family,0,26,Budget Hostel,Kathmandu,"Kathmandu,Patan,Bhaktapur",5,Private Car,False,10,1761,1059,235,2500,6000,0,11555,Travel Agency,Heritage Sites,7.5,True
4,French,28,Male,Business,2025-10-26 03:50:54.435982,2025-11-03 03:50:54.435982,8,Autumn,2,Partner/Spouse,0,37,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",8,Walking,True,16,37312,5280,3122,4000,400,12112,62226,Social Media,Local Culture,8.7,True
5,Indian,58,Male,Pilgrimage,2025-09-19 03:50:54.435982,2025-09-23 03:50:54.435982,4,Autumn,2,Friend,0,45,Guesthouse,Patan,"Kathmandu,Patan",11,Public Bus,False,13,3896,2900,536,5500,400,0,13232,Social Media,Religious Sites,9.4,True
6,Japanese,64,Female,Cultural Tourism,2025-03-03 03:50:54.435982,2025-03-11 03:50:54.435982,8,Spring,3,Family,0,28,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Private Car,False,44,46448,21264,6316,9000,16000,0,99028,Travel Agency,Heritage Sites,8.6,True
7,Japanese,29,Male,Cultural Tourism,2025-11-13 03:50:54.435982,2025-11-22 03:50:54.435982,9,Autumn,2,Friend,1,25,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Walking,True,34,29844,16083,8162,9000,450,13276,76815,Friends/Family,Heritage Sites,8.3,True
8,Korean,31,Female,Adventure/Trekking,2025-09-14 03:50:54.435982,2025-09-19 03:50:54.435982,5,Autumn,2,Friend,0,37,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",3,Public Bus,False,12,23320,5985,1857,1500,500,0,33162,Friends/Family,Adventure Sports,8.2,True
9,American,62,Male,Adventure/Trekking,2025-04-28 03:50:54.435982,2025-05-11 03:50:54.435982,13,Spring,1,Solo,3,39,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",7,Private Car,True,42,68822,30277,8795,3500,26000,23568,160962,Other,Adventure Sports,9.3,True
10,Indian,54,Female,Business,2024-11-23 03:50:54.435982,2024-11-29 03:50:54.435982,6,Autumn,3,Friends,0,20,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Taxi,True,18,12372,5754,1792,3500,4800,8967,37185,Guidebooks,Food,7.2,True
11,American,66,Male,Cultural Tourism,2025-05-16 03:50:54.435982,2025-05-25 03:50:54.435982,9,Spring,2,Friend,1,32,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",12,Taxi,True,16,42435,12798,943,6000,7200,9316,78692,Travel Blogs,Local Culture,6.0,False
12,Thai,20,Female,Adventure/Trekking,2025-07-02 03:50:54.435982,2025-07-06 03:50:54.435982,4,Monsoon,2,Friend,0,40,Budget Hostel,Patan,"Kathmandu,Patan",5,Taxi,False,10,3044,1812,441,2500,3200,0,10997,Friends/Family,Trekking,8.5,True
13,Korean,58,Male,Business,2025-02-17 03:50:54.435982,2025-02-22 03:50:54.435982,5,Winter,3,Tour Group,0,47,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",9,Public Bus,True,23,36900,12675,1785,4500,500,7524,63884,Friends/Family,Local Culture,7.4,True
14,Indian,26,Male,Pilgrimage,2025-01-03 03:50:54.435982,2025-01-06 03:50:54.435982,3,Winter,2,Friend,1,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan",9,Rental Bike,False,18,11835,4446,1521,4500,1500,0,23802,Social Media,Religious Sites,7.4,True
15,Chinese,59,Female,Cultural Tourism,2025-02-28 03:50:54.435982,2025-03-07 03:50:54.435982,7,Winter,5,Friends,0,45,Guesthouse,Patan,"Kathmandu,Patan,Bhaktapur",14,Rental Bike,True,19,6818,8232,3760,7000,3500,9495,38805,Travel Blogs,Heritage Sites,8.0,True
16,Other,26,Male,Luxury Travel,2025-01-22 03:50:54.435982,2025-01-30 03:50:54.435982,8,Winter,3,Family,0,47,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",5,Rental Bike,False,16,59040,6520,2,2500,4000,0,72062,Travel Blogs,Heritage Sites,6.7,False
17,Israeli,54,Male,Cultural Tourism,2025-04-08 03:50:54.435982,2025-04-16 03:50:54.435982,8,Spring,1,Solo,0,4,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",10,Private Car,True,21,21088,5528,6496,5000,16000,19452,73564,Friends/Family,Architecture,8.5,True
